COUNTRY,CUSTOMER_NBR,MATERIAL_NBR,MONTH_YEAR,QUANTITY,UNIT
IN42,1045,1-00S862-L84-140-140,2019-05,1464.0,EA
IN42,1045,1-00S862-L84-140-140,2019-06,1128.0,EA
IN42,1045,1-00S862-L84-140-140,2019-07,1152.0,EA
IN42,1045,1-00S862-L84-140-140,2019-08,1296.0,EA
IN42,1045,1-00S862-L84-140-140,2019-09,888.0,EA
IN42,1045,1-00S862-L84-140-140,2019-10,1276.0,EA
IN42,1045,1-00S862-L84-140-140,2019-11,1392.0,EA
IN42,1045,1-00S862-L84-140-140,2019-12,1464.0,EA
IN42,1045,1-00S862-L84-140-140,2020-01,2328.0,EA
IN42,1045,1-00S862-L84-140-140,2020-02,2160.0,EA
IN42,1045,1-00S862-L84-140-140,2020-03,2304.0,EA
IN42,1045,1-00S862-L84-140-140,2020-04,1392.0,EA
IN42,1045,1-00S862-L84-140-140,2020-05,2568.0,EA
IN42,1045,1-00S862-L84-140-140,2020-06,2952.0,EA
IN42,1045,1-00S862-L84-140-140,2020-07,3672.0,EA
IN42,1045,1-00S862-L84-140-140,2020-08,2736.0,EA
IN42,1045,1-00S862-L84-140-140,2020-09,2352.0,EA
IN42,1045,1-00S862-L84-140-140,2020-10,3264.0,EA
IN42,1045,1-00S862-L84-140-140,2020-11,2472.0,EA
IN42,1045,1-00S862-L84-140-140,2020-12,231.0,EA
IN42,1045,1-00S862-L84-140-140,2021-01,5208.0,EA
IN42,1045,1-00S862-L84-140-140,2021-02,888.0,EA
IN42,1045,1-00S862-L84-140-140,2021-03,840.0,EA
IN42,1045,1-00S862-L84-140-140,2021-04,7488.0,EA
IN42,1045,1-00S862-L84-140-140,2021-05,72.0,EA
IN42,1045,1-00S862-L84-140-140,2021-06,1200.0,EA
IN42,1045,1-00S862-L84-140-140,2021-07,864.0,EA
IN42,1045,1-00S862-L84-140-140,2021-08,3288.0,EA
IN42,1045,1-00S862-L84-140-140,2021-09,4852.0,EA
IN42,1045,1-00S862-L84-140-140,2021-10,3398.0,EA
IN42,1045,1-00S862-L84-140-140,2021-11,2448.0,EA
IN42,1045,1-00S862-L84-140-140,2021-12,3004.0,EA
IN42,1045,1-00S862-L84-140-140,2022-01,,EA
IN42,1045,1-00S862-L84-140-140,2022-02,3672.0,EA
IN42,1045,1-00S862-L84-140-140,2022-03,4536.0,EA
IN42,1045,1-00S862-L84-140-140,2022-04,0.0,EA
IN42,1045,1-00S862-L84-261-973,2020-10,20.0,EA
IN42,1045,1-00S862-L84-261-973,2020-11,0.0,EA
IN42,1045,1-00S862-L84-261-973,2020-12,0.0,EA
IN42,1045,1-00S862-L84-261-973,2021-01,0.0,EA
IN42,1045,1-00S862-L84-261-973,2021-02,0.0,EA
